#      ng1   ng2         src1        l             b           zro1   tau1           cen1        wid1           tx1       er1            tx2         er2
============================================================================================================================================================
      30        2       2 4C22.12      188.052    0.0470513       0    0.0172332     -1.78007     0.560079      4.22146     0.477075      3.78561     0.227902

      31        1       1 G196.6+0.2      196.640     0.167617       0   0.00433149      3.21833      1.66519      7.39821      1.17074      6.35149     0.621072

      32        5       5 G197.0+1.1      196.983      1.10338       0    0.0123512      4.83011      1.84169      4.50905     0.324609      4.66152     0.253332
      33        5       5 G197.0+1.1      196.983      1.10338       0   0.00569820      7.45716     0.611071      1.00000      0.00000      1.00000      0.00000
      34        5       5 G197.0+1.1      196.983      1.10338       0   0.00527818      16.4093      1.16839      6.28628     0.955518      5.44356     0.670172
      35        5       5 G197.0+1.1      196.983      1.10338       0   0.00687909      17.6451     0.709986      4.58225     0.941452      5.48178     0.449307
      36        5       5 G197.0+1.1      196.983      1.10338       0    0.0236505      32.0095     0.555788      3.61228     0.310011      4.08317     0.194312

      37        2       2 P0428+20      176.808     -18.5568       0   0.00148528      3.59822      1.06074      8.42407      2.04732      4.05431      1.28046
      38        2       2 P0428+20      176.808     -18.5568       0   0.00758102      10.7017      1.10375      8.41964     0.394200      7.62892     0.227065

      39        1       1 T0526+24      181.355     -5.19333       0    0.0157538      7.58273      1.65534      8.66058      1.38937      6.97857     0.599863

      40        8       8 T0629+10      201.532     0.507878       0   0.00397600     0.155454     0.630599      3.87684      1.14569      4.02991      1.04899
      41        8       8 T0629+10      201.532     0.507878       0    0.0384279      3.13396      1.00637      2.10813     0.328003      4.76118      1.48812
      42        8       8 T0629+10      201.532     0.507878       0    0.0167906      1.46804      1.43008      2.56956     0.231661     0.500000      0.00000
      43        8       8 T0629+10      201.532     0.507878       0     0.160293      3.61250     0.609592      2.98251    0.0647214      3.44169     0.117640
      44        8       8 T0629+10      201.532     0.507878       0    0.0813624      4.61572     0.784199      2.42679     0.143808      3.08369     0.248039
      45        8       8 T0629+10      201.532     0.507878       0    0.0750561      6.08951      1.04348      3.69899    0.0978000      3.23154     0.237717
      46        8       8 T0629+10      201.532     0.507878       0    0.0372524      6.99305     0.492301      3.97260     0.146250      2.67129     0.297417
      47        8       8 T0629+10      201.532     0.507878       0    0.0174059      7.90485     0.826374      3.60246     0.228606      2.23428     0.692129

